rank,digraph,count,freq
310,YD,2122337,0.04908127
311,FS,2047416,0.04734865
312,SG,2043770,0.04726433
313,YR,2021939,0.04675946
314,YL,2013939,0.04657445
315,WS,1988727,0.04599140
316,MY,1949129,0.04507566
317,OY,1932892,0.04470016
318,KN,1903836,0.04402821
319,IZ,1865802,0.04314863
320,XP,1840696,0.04256803
321,LW,1836811,0.04247818
322,TN,1782119,0.04121337
323,KO,1758001,0.04065562
324,AA,1721143,0.03980324
325,JA,1712763,0.03960944
326,ZE,1709871,0.03954256
327,FC,1570791,0.03632619
328,GW,1567991,0.03626144
329,TG,1530045,0.03538390
330,XT,1509969,0.03491962
331,FH,1507604,0.03486493
332,LR,1505092,0.03480683
333,JE,1487348,0.03439648
334,YN,1485655,0.03435733
335,GG,1468286,0.03395566
336,GF,1465290,0.03388637
337,EQ,1461436,0.03379724
338,HY,1446451,0.03345070
339,KT,1443985,0.03339367
340,HC,1441057,0.03332596
341,BS,1409672,0.03260015
342,HW,1403223,0.03245101
343,HN,1383958,0.03200548
344,CS,1381608,0.03195114
345,HM,1353001,0.03128957
346,NJ,1342735,0.03105216
347,HH,1329998,0.03075760
348,WT,1301293,0.03009377
349,GC,1299541,0.03005325
350,LH,1274048,0.02946370
351,EJ,1256993,0.02906928
352,FM,1251312,0.02893790
353,DV,1238565,0.02864312
354,LV,1238287,0.02863669
355,WR,1226755,0.02837000
356,GP,1215204,0.02810287
357,FP,1199845,0.02774768
358,GB,1184377,0.02738996
359,GM,1178511,0.02725430
360,HL,1169468,0.02704518
361,LK,1164186,0.02692302
362,CY,1145316,0.02648664
363,MC,1101727,0.02547859
364,YG,1049082,0.02426112
365,XI,1024736,0.02369810
366,HB,1014004,0.02344991
367,FW,1005903,0.02326256
368,GY,979804,0.02265900
369,HP,978649,0.02263229
370,MW,937621,0.02168347
371,PM,931225,0.02153556
372,ZA,929119,0.02148685
373,LG,926472,0.02142564
374,IW,922059,0.02132358
375,XA,904148,0.02090937
376,FB,888155,0.02053952
377,SV,882083,0.02039910
378,GD,879792,0.02034611
379,IX,879360,0.02033612
380,AJ,870262,0.02012572
381,KL,846309,0.01957178
382,HF,834284,0.01929369
383,HD,828755,0.01916583
384,AE,815963,0.01887000
385,SQ,800346,0.01850884
386,DJ,799366,0.01848618
387,FY,789961,0.01826868
388,AZ,768359,0.01776911
389,LN,752316,0.01739810
390,AO,749566,0.01733450
391,FD,748027,0.01729891
392,KW,719633,0.01664227
393,MF,715087,0.01653714
394,MH,710864,0.01643948
395,SJ,704442,0.01629096
396,UF,701892,0.01623199
397,TV,698150,0.01614545
398,XC,697995,0.01614187
399,YU,695512,0.01608445
400,BB,689158,0.01593750
401,WW,674610,0.01560106
402,OJ,661082,0.01528822
403,AX,660826,0.01528230
404,MR,660619,0.01527751
405,WL,657782,0.01521190
406,XE,653947,0.01512321
407,KH,650095,0.01503413
408,OX,650078,0.01503374
409,UO,649906,0.01502976
410,ZI,644035,0.01489399
411,FG,637758,0.01474882
412,IH,610683,0.01412269
413,TK,610333,0.01411459
414,II,607124,0.01404038
415,IU,576683,0.01333640
416,TJ,559473,0.01293840
417,MN,558397,0.01291352
418,WY,553647,0.01280367
419,KY,553296,0.01279555
420,KF,537342,0.01242660
421,FN,534362,0.01235768
422,UY,531960,0.01230213
423,PW,530411,0.01226631
424,DK,525744,0.01215838
425,RJ,518157,0.01198292
426,UK,514873,0.01190698
427,KR,507020,0.01172537
428,KU,506618,0.01171607
429,WM,505687,0.01169454
430,KM,485617,0.01123040
431,MD,481126,0.01112654
432,ML,478528,0.01106646
433,EZ,465466,0.01076439
434,KB,457860,0.01058849
435,WC,448394,0.01036958
436,WD,432646,0.01000539
437,HG,429607,0.00993511
438,BT,428276,0.00990433
439,ZO,424016,0.00980582
440,KC,420017,0.00971333
441,PF,418168,0.00967057
442,YV,411487,0.00951607
443,PC,400308,0.00925754
444,PY,396147,0.00916132
445,WB,394820,0.00913063
446,YK,391953,0.00906432
447,CP,382923,0.00885550
448,YJ,378679,0.00875735
449,KP,375653,0.00868737
450,PB,369336,0.00854128
451,CD,358435,0.00828919
452,JI,357577,0.00826934
453,UW,352732,0.00815730
454,UH,339341,0.00784762
455,WF,336213,0.00777528
456,YY,332973,0.00770035
457,WP,321746,0.00744071
458,BC,320380,0.00740912
459,AQ,315068,0.00728628
460,CB,298053,0.00689279
461,IQ,291635,0.00674437
462,CM,285942,0.00661271
463,MG,285133,0.00659400
464,DQ,283314,0.00655193
465,BJ,282608,0.00653561
466,TZ,280007,0.00647546
467,KD,277982,0.00642863
468,PD,273162,0.00631716
469,FJ,269865,0.00624091
470,CF,267630,0.00618922
471,NZ,266461,0.00616219
472,CW,257253,0.00594925
473,FV,244685,0.00565860
474,VY,233082,0.00539027
475,FK,228905,0.00529367
476,OZ,228556,0.00528560
477,ZZ,221275,0.00511722
478,IJ,219128,0.00506757
479,LJ,218362,0.00504985
480,NQ,217422,0.00502811
481,UV,212051,0.00490390
482,XO,211173,0.00488360
483,PG,211133,0.00488267
484,HK,210385,0.00486537
485,KG,209266,0.00483950
486,VS,204093,0.00471987
487,HV,197539,0.00456830
488,BM,191807,0.00443574
489,HJ,189906,0.00439178
490,CN,188046,0.00434876
491,GV,186777,0.00431941
492,CG,181590,0.00419946
493,WU,180884,0.00418313
494,GJ,176947,0.00409209
495,XH,166599,0.00385278
496,GK,163830,0.00378874
497,TQ,159111,0.00367961
498,CQ,157546,0.00364342
499,RQ,156933,0.00362924
500,BH,154489,0.00357272
501,XS,154347,0.00356944
502,UZ,153736,0.00355531
503,WK,148964,0.00344495
504,XU,147533,0.00341186
505,UX,144814,0.00334898
506,BD,141752,0.00327816
507,BW,140189,0.00324202
508,WG,139890,0.00323510
509,MV,136314,0.00315240
510,MJ,134263,0.00310497
511,PN,131645,0.00304443
512,XM,127492,0.00294839
513,OQ,122677,0.00283703
514,BV,120081,0.00277700
515,XW,119322,0.00275945
516,KK,118811,0.00274763
517,BP,115161,0.00266322
518,ZU,113538,0.00262569
519,RZ,113432,0.00262323
520,XF,113031,0.00261396
521,MK,111041,0.00256794
522,ZH,107639,0.00248926
523,BN,106125,0.00245425
524,ZY,105871,0.00244838
525,HQ,101241,0.00234130
526,WJ,99435,0.00229954
527,IY,98361,0.00227470
528,DZ,98038,0.00226723
529,VR,96416,0.00222972
530,ZS,94993,0.00219681
531,XY,94329,0.00218146
532,CV,94224,0.00217903
533,XB,94041,0.00217480
534,XR,90046,0.00208241
535,UJ,88168,0.00203898
536,YQ,87953,0.00203401
537,VD,85611,0.00197984
538,PK,83017,0.00191986
539,VU,82830,0.00191553
540,JR,80471,0.00186098
541,ZL,80039,0.00185099
542,SZ,79840,0.00184638
543,YZ,78281,0.00181033
544,LQ,77148,0.00178413
545,KJ,76816,0.00177645
546,BF,75352,0.00174259
547,NX,74844,0.00173085
548,QA,73527,0.00170039
549,QI,73387,0.00169715
550,KV,73184,0.00169246
551,ZW,68865,0.00159258
552,WV,63930,0.00147845
553,UU,63043,0.00145794
554,VT,62912,0.00145491
555,VP,62577,0.00144716
556,XD,60101,0.00138990
557,GQ,59750,0.00138178
558,XL,59585,0.00137797
559,VC,59024,0.00136499
560,CZ,57914,0.00133932
561,LZ,57314,0.00132545
562,ZT,56955,0.00131714
563,WZ,52836,0.00122189
564,SX,50975,0.00117885
565,ZB,50652,0.00117138
566,VL,49032,0.00113392
567,PV,48105,0.00111248
568,FQ,47504,0.00109858
569,PJ,47043,0.00108792
570,ZM,46034,0.00106458
571,VW,45608,0.00105473
572,CJ,41526,0.00096033
573,ZC,41037,0.00094902
574,BG,40516,0.00093698
575,JS,39326,0.00090946
576,XG,39289,0.00090860
577,RX,38654,0.00089391
578,HZ,37066,0.00085719
579,XX,35052,0.00081061
580,VM,35024,0.00080997
581,XN,34734,0.00080326
582,QW,34669,0.00080176
583,JP,34520,0.00079831
584,VN,33082,0.00076506
585,ZD,32906,0.00076099
586,ZR,32685,0.00075587
587,FZ,31186,0.00072121
588,XV,31117,0.00071961
589,ZP,30389,0.00070278
590,VH,30203,0.00069848
591,VB,29192,0.00067510
592,ZF,28658,0.00066275
593,GZ,28514,0.00065942
594,TX,28156,0.00065114
595,VF,28090,0.00064961
596,DX,27413,0.00063395
597,QB,27307,0.00063150
598,BK,26993,0.00062424
599,ZG,26369,0.00060981
600,VG,25585,0.00059168
601,JC,24770,0.00057283
602,ZK,24262,0.00056108
603,ZN,24241,0.00056060
604,UQ,23386,0.00054083
605,JM,22338,0.00051659
